timestamp,left_x,left_y,left_z,right_x,right_y,right_z
0,-307.2119140625,-11.128799438476562,-235.62210083007812,-298.1552734375,-10.961929321289062,-229.20022583007812
1,-308.9774169921875,-11.048379898071289,-233.96951293945312,-298.903564453125,-10.90606689453125,-228.12112426757812
2,-308.9774169921875,-11.048379898071289,-233.96951293945312,-300.2845458984375,-10.80926513671875,-226.12600708007812
3,-310.33544921875,-10.90411376953125,-231.22756958007812,-300.2845458984375,-10.80926513671875,-226.12600708007812
4,-311.1791687011719,-10.88116455078125,-230.84104919433594,-301.5445556640625,-10.726638793945312,-224.30276489257812
5,-312.1365966796875,-10.759185791015625,-228.68850708007812,-302.383056640625,-10.67156982421875,-223.08694458007812
6,-312.6282958984375,-10.72100830078125,-227.99221801757812,-302.862060546875,-10.641036987304688,-222.39260864257812
7,-313.2532958984375,-10.66845703125,-227.10647583007812,-303.425537109375,-10.60491943359375,-221.57522583007812
8,-314.74224853515625,-10.567935943603516,-225.78024291992188,-304.4210205078125,-10.536102294921875,-220.12796020507812
9,-315.5731201171875,-10.452987670898438,-223.84475708007812,-305.2982177734375,-10.470428466796875,-218.85159301757812
10,-316.07470703125,-10.403579711914062,-223.14358520507812,-306.2130126953125,-10.402420043945312,-217.51956176757812
11,-316.8106689453125,-10.329635620117188,-222.10745239257812,-307.2828369140625,-10.3221435546875,-215.96194458007812
12,-318.06005859375,-10.205642700195312,-220.32229614257812,-307.2828369140625,-10.3221435546875,-215.96194458007812
13,-318.06005859375,-10.205642700195312,-220.32229614257812,-308.4884033203125,-10.231948852539062,-214.20217895507812
14,-319.28466796875,-10.078231811523438,-218.54690551757812,-309.40185546875,-10.165176391601562,-212.86721801757812
15,-320.1748046875,-9.983291625976562,-217.24221801757812,-309.04412841796875,-10.122297286987305,-209.94984436035156
16,-321.0772705078125,-9.888717651367188,-215.91409301757812,-309.04412841796875,-10.122297286987305,-209.94984436035156
17,-322.15625,-9.774246215820312,-214.30862426757812,-312.0072021484375,-9.960769653320312,-209.03909301757812
18,-321.7109375,-9.684066772460938,-212.65625,-312.5357666015625,-9.91796875,-208.25588989257812
19,-323.455322265625,-9.626375198364258,-212.33987426757812,-312.0545349121094,-9.912313461303711,-205.12615966796875
20,-324.334228515625,-9.522249221801758,-210.98635864257812,-312.0545349121094,-9.912313461303711,-205.12615966796875
21,-324.916748046875,-9.452028274536133,-210.07620239257812,-314.9970703125,-9.735977172851562,-204.57717895507812
22,-325.033203125,-9.330429077148438,-208.029296875,-314.63214111328125,-9.727682113647461,-201.4019012451172
23,-326.6175537109375,-9.234560012817383,-207.34573364257812,-314.63214111328125,-9.727682113647461,-201.4019012451172
24,-327.7271728515625,-8.901657104492188,-201.85548400878906,-319.3944091796875,-9.344131469726562,-197.79104614257812
25,-327.7271728515625,-8.901657104492188,-201.85548400878906,-319.4893798828125,-9.31556510925293,-194.08425903320312
26,-330.1397705078125,-8.742082595825195,-200.99124145507812,-319.4893798828125,-9.31556510925293,-194.08425903320312
27,-331.1070556640625,-8.60606575012207,-199.03811645507812,-319.4893798828125,-9.31556510925293,-194.08425903320312
28,-330.922607421875,-8.57427978515625,-198.259765625,-322.548828125,-9.013885498046875,-192.44534301757812
29,-330.90087890625,-8.498184204101562,-196.53517150878906,-321.9455871582031,-9.05247688293457,-189.89096069335938
30,-332.9990234375,-8.315279006958008,-195.08108520507812,-322.4452819824219,-8.978277206420898,-188.6630859375
31,-333.5015869140625,-8.235475540161133,-194.01858520507812,-322.4452819824219,-8.978277206420898,-188.6630859375
32,-334.33837890625,-8.11863899230957,-192.24221801757812,-323.4428405761719,-8.830146789550781,-186.21177673339844
33,-334.9246826171875,-8.027177810668945,-190.99024963378906,-323.4428405761719,-8.830146789550781,-186.21177673339844
34,-335.0762939453125,-7.941132068634033,-189.4111328125,-326.470947265625,-8.488128662109375,-184.29005432128906
35,-336.1929931640625,-7.823380947113037,-188.26661682128906,-327.116943359375,-8.397506713867188,-182.84669494628906
36,-336.78662109375,-7.722856044769287,-186.98634338378906,-327.94677734375,-8.280975341796875,-180.99513244628906
37,-337.5338134765625,-7.593492031097412,-185.37501525878906,-326.4134216308594,-8.352678298950195,-178.91339111328125
38,-338.017333984375,-7.508561611175537,-184.33888244628906,-326.4134216308594,-8.352678298950195,-178.91339111328125
39,-338.885009765625,-7.363084316253662,-182.48634338378906,-329.3636474609375,-8.088180541992188,-177.79591369628906
40,-339.5318603515625,-7.259660243988037,-181.09767150878906,-330.1151123046875,-7.969360828399658,-176.05276489257812
41,-340.204833984375,-7.142838954925537,-179.62892150878906,-328.6466979980469,-7.976261138916016,-173.42909240722656
42,-340.5799560546875,-7.079286575317383,-178.79981994628906,-331.3271484375,-7.770584583282471,-173.19728088378906
43,-341.253173828125,-6.967241287231445,-177.30860900878906,-332.1644287109375,-7.634171009063721,-171.23146057128906
44,-341.8536376953125,-6.868989944458008,-175.98048400878906,-332.1644287109375,-7.634171009063721,-171.23146057128906
45,-342.840576171875,-6.70854377746582,-173.81056213378906,-333.4349365234375,-7.430084705352783,-168.25294494628906
46,-343.253662109375,-6.644014358520508,-172.90138244628906,-333.4349365234375,-7.430084705352783,-168.25294494628906
47,-343.9190673828125,-6.54551887512207,-171.44142150878906,-333.884521484375,-7.358719348907471,-167.20802307128906
48,-344.4482421875,-6.467622756958008,-170.28126525878906,-335.016845703125,-7.184219837188721,-164.58692932128906
49,-345.112548828125,-6.37089729309082,-168.82911682128906,-335.411865234375,-7.123184680938721,-163.66896057128906
50,-345.757568359375,-6.278474807739258,-167.41505432128906,-335.98583984375,-7.032074451446533,-162.32814025878906
51,-346.528564453125,-6.162691116333008,-165.70509338378906,-336.7912902832031,-6.898880481719971,-160.43946838378906
52,-346.9603271484375,-6.098574161529541,-164.74122619628906,-337.35009765625,-6.803986072540283,-159.12892150878906
53,-347.673583984375,-5.987871170043945,-163.14064025878906,-337.35009765625,-6.803986072540283,-159.12892150878906
54,-348.373291015625,-5.878725051879883,-161.56544494628906,-338.328857421875,-6.633148670196533,-156.83302307128906
55,-348.9044189453125,-5.78618049621582,-160.36720275878906,-339.084228515625,-6.498672962188721,-155.06056213378906
56,-349.47412109375,-5.69053840637207,-159.07911682128906,-339.3204345703125,-6.454483509063721,-154.50587463378906
57,-350.21337890625,-5.572038650512695,-157.39942932128906,-339.3204345703125,-6.454483509063721,-154.50587463378906
58,-350.77197265625,-5.48289680480957,-156.12110900878906,-340.9598388671875,-6.164490222930908,-150.66505432128906
59,-351.3619384765625,-5.388566970825195,-154.76466369628906,-340.9598388671875,-6.164490222930908,-150.66505432128906
60,-351.8087158203125,-5.31706428527832,-153.73243713378906,-341.817626953125,-6.011002063751221,-148.64649963378906
61,-352.6763916015625,-5.172365188598633,-151.72755432128906,-342.5450439453125,-5.88055419921875,-146.92677307128906
62,-353.1082763671875,-5.0949578285217285,-150.72755432128906,-343.2664794921875,-5.74908447265625,-145.21876525878906
63,-353.74072265625,-4.985079288482666,-149.26075744628906,-343.7520751953125,-5.658966064453125,-144.07423400878906
64,-354.425048828125,-4.873873233795166,-147.67677307128906,-344.2667236328125,-5.5634613037109375,-142.86524963378906
65,-355.0322265625,-4.7793755531311035,-146.27540588378906,-344.62451171875,-5.497222900390625,-142.02540588378906
66,-355.80615234375,-4.659273624420166,-144.49317932128906,-345.134765625,-5.403656005859375,-140.82716369628906
67,-356.041259765625,-4.6254754066467285,-143.95021057128906,-345.9405517578125,-5.254425048828125,-138.92677307128906
68,-356.52734375,-4.556276798248291,-142.82521057128906,-346.511962890625,-5.1482696533203125,-137.56642150878906
69,-357.3089599609375,-4.445162296295166,-141.00294494628906,-347.3135986328125,-4.9971771240234375,-135.66017150878906
70,-357.9462890625,-4.3599724769592285,-139.50880432128906,-347.669189453125,-4.9300079345703125,-134.82130432128906
71,-358.730712890625,-4.254976749420166,-137.66896057128906,-348.226318359375,-4.82696533203125,-133.51661682128906
72,-359.2813720703125,-4.192659854888916,-136.37989807128906,-348.63671875,-4.7523651123046875,-132.55763244628906
73,-359.8857421875,-4.119753360748291,-134.96192932128906,-349.3314208984375,-4.63238525390625,-130.93946838378906
74,-360.3568115234375,-4.056093692779541,-133.84864807128906,-350.3868408203125,-4.4558563232421875,-128.47364807128906
75,-360.9886474609375,-3.975283145904541,-132.33692932128906,-350.641357421875,-4.4140625,-127.87892150878906
76,-361.655029296875,-3.8978753089904785,-130.72462463378906,-351.362548828125,-4.300689697265625,-126.19435119628906
77,-362.333984375,-3.8157830238342285,-129.07130432128906,-351.7821044921875,-4.2356719970703125,-125.21681213378906
78,-362.8818359375,-3.749483585357666,-127.73634338378906,-352.56982421875,-4.1175689697265625,-123.37989807128906
79,-363.426025390625,-3.6757683753967285,-126.40235900878906,-354.5816650390625,-3.9306797981262207,-121.890625
80,-363.9261474609375,-3.615572452545166,-125.17481994628906,-354.5816650390625,-3.9306797981262207,-121.890625
81,-364.1971435546875,-3.583406925201416,-124.51075744628906,-354.2144775390625,-3.8927154541015625,-119.54298400878906
82,-365.115234375,-3.4734063148498535,-122.29005432128906,-354.8134765625,-3.818634271621704,-118.13868713378906
83,-365.962158203125,-3.3830742835998535,-120.26661682128906,-355.490478515625,-3.737091064453125,-116.55372619628906
84,-366.68310546875,-3.31445574760437,-118.56056213378906,-355.9251708984375,-3.687255859375,-115.53810119628906
